스타벅스 명,스타벅스 주소,역 명,운영기관,역 주소,노선명
자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층,건대입구역,서울교통공사,"서울특별시 광진구 아차산로 243(화양동), 서울특별시 광진구 능동로 지하111(화양동)","2호선, 7호선"
건대입구,서울특별시 광진구 능동로 107 (화양동),건대입구역,서울교통공사,"서울특별시 광진구 아차산로 243(화양동), 서울특별시 광진구 능동로 지하110(화양동)","2호선, 7호선"
뉴코아강남,서울특별시 서초구 잠원로 69,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
반포자이,서울특별시 서초구 잠원로 24,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
서울고속터미널,서울특별시 서초구 신반포로 194,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
센트럴F1,서울특별시 서초구 신반포로 176,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
센트럴시티,서울특별시 서초구 신반포로 176,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
파미에파크R,서울특별시 서초구 사평대로 205,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
공덕,서울특별시 마포구 마포대로 130 (공덕동),공덕,"서율교통공사, 한국철도공사, 공항철도주식회사","서울특별시 마포구 마포대로 지하100(공덕동), 서울특별시 마포구 백범로 지하200(공덕동)","인천국제공항선, 5호선, 6호선, 경의중앙선"
마포염리,서울특별시 마포구 독막로 311 (염리동),공덕,"서율교통공사, 한국철도공사, 공항철도주식회사","서울특별시 마포구 마포대로 지하100(공덕동), 서울특별시 마포구 백범로 지하200(공덕동)","인천국제공항선, 5호선, 6호선, 경의중앙선"
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,공덕,"서율교통공사, 한국철도공사, 공항철도주식회사","서울특별시 마포구 마포대로 지하100(공덕동), 서울특별시 마포구 백범로 지하200(공덕동)","인천국제공항선, 5호선, 6호선, 경의중앙선"
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",공덕,"서율교통공사, 한국철도공사, 공항철도주식회사","서울특별시 마포구 마포대로 지하100(공덕동), 서울특별시 마포구 백범로 지하200(공덕동)","인천국제공항선, 5호선, 6호선, 경의중앙선"
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,공덕,"서율교통공사, 한국철도공사, 공항철도주식회사","서울특별시 마포구 마포대로 지하100(공덕동), 서울특별시 마포구 백범로 지하200(공덕동)","인천국제공항선, 5호선, 6호선, 경의중앙선"
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,공덕,"서율교통공사, 한국철도공사, 공항철도주식회사","서울특별시 마포구 마포대로 지하100(공덕동), 서울특별시 마포구 백범로 지하200(공덕동)","인천국제공항선, 5호선, 6호선, 경의중앙선"
서초법원,서울특별시 서초구 서초대로 274 (서초동),교대(법원.경찰청),서울교통공사,서울특별시 서초구 서초대로 지하294(서초동),"2호선, 3호선"
교대법원,서울특별시 서초구 서초중앙로 164 (서초동),교대(법원.경찰청),서울교통공사,서울특별시 서초구 서초대로 지하294(서초동),"2호선, 3호선"
교대 ,서울특별시 서초구 서초중앙로 118 (서초동),교대(법원.경찰청),서울교통공사,서울특별시 서초구 서초대로 지하294(서초동),"2호선, 3호선"
구로디지털타워,서울특별시 구로구 디지털로32길 30,구로디지털단지,서울교통공사,서울특별시 구로구 도림천로 477,2호선
구로호텔,서울특별시 구로구 디지털로32길 72,구로디지털단지,서울교통공사,서울특별시 구로구 도림천로 477,2호선
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호 ",노량진,"서울시메트로9호선㈜, 한국철도공사",서울특별시 동작구 노량진로 151 철도 초소,"수도권 도시철도 9호선, 경부선"
노량진역,서울특별시 동작구 노량진로 134 (노량진동),노량진,"서울시메트로9호선㈜, 한국철도공사",서울특별시 동작구 노량진로 151 철도 초소,"수도권 도시철도 9호선, 경부선"
노원역,"서울특별시 노원구 동일로 1413, 1층 (상계동)",노원,서울교통공사,"서울특별시 노원구 상계로 69-1(상계동), 서울특별시 노원구 동일로 지하1409(상계동)","4호선, 7호선"
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",노원,서울교통공사,"서울특별시 노원구 상계로 69-1(상계동), 서울특별시 노원구 동일로 지하1409(상계동)","4호선, 7호선"
상계초교사거리,서울특별시 노원구 노원로 449 (상계동),노원,서울교통공사,"서울특별시 노원구 상계로 69-1(상계동), 서울특별시 노원구 동일로 지하1409(상계동)","4호선, 7호선"
노원상계점,서울특별시 노원구 동일로215길 2,노원,서울교통공사,"서울특별시 노원구 상계로 69-1(상계동), 서울특별시 노원구 동일로 지하1409(상계동)","4호선, 7호선"
당산대로,서울특별시 영등포구 양평로 22 (당산동6가),당산,"서울교통공사, 서울시메트로9호선(주)",서울특별시 영등포구 당산로 229(당산동6가),"2호선, 수도권 도시철도 9호선"
선유동이레빌딩,서울특별시 영등포구 선유동2로 57 (양평제1동) 이레빌딩,당산,"서울교통공사, 서울시메트로9호선(주)",서울특별시 영등포구 당산로 229(당산동6가),"2호선, 수도권 도시철도 9호선"
당산 ,서울특별시 영등포구 양평로 64 (당산동6가),당산,"서울교통공사, 서울시메트로9호선(주)",서울특별시 영등포구 당산로 229(당산동6가),"2호선, 수도권 도시철도 9호선"
당산역사거리,서울 영등포구 양평로 47,당산,"서울교통공사, 서울시메트로9호선(주)",서울특별시 영등포구 당산로 229(당산동6가),"2호선, 수도권 도시철도 9호선"
국립중앙의료원,서울특별시 중구 을지로 251 (을지로6가),동대문역사문화공원,서울교통공사,"서울특별시 중구 을지로 지하279(을지로7가), 서울특별시 중구 장충단로 지하230(광희동2가), 서울특별시 중구 마른내로 지하162(광희동1가)","2호선, 4호선, 5호선"
동대문공원,서울특별시 중구 장충단로 229 (광희동1가),동대문역사문화공원,서울교통공사,"서울특별시 중구 을지로 지하279(을지로7가), 서울특별시 중구 장충단로 지하230(광희동2가), 서울특별시 중구 마른내로 지하162(광희동1가)","2호선, 4호선, 5호선"
동대문두타,서울특별시 중구 장충단로 275 (을지로6가),동대문역사문화공원,서울교통공사,"서울특별시 중구 을지로 지하279(을지로7가), 서울특별시 중구 장충단로 지하230(광희동2가), 서울특별시 중구 마른내로 지하162(광희동1가)","2호선, 4호선, 5호선"
동대문디자인플라자,서울특별시 중구 을지로 281,동대문역사문화공원,서울교통공사,"서울특별시 중구 을지로 지하279(을지로7가), 서울특별시 중구 장충단로 지하230(광희동2가), 서울특별시 중구 마른내로 지하162(광희동1가)","2호선, 4호선, 5호선"
신당역," 서울특별시 중구 퇴계로 385, 1층 (흥인동) ",동대문역사문화공원,서울교통공사,"서울특별시 중구 을지로 지하279(을지로7가), 서울특별시 중구 장충단로 지하230(광희동2가), 서울특별시 중구 마른내로 지하162(광희동1가)","2호선, 4호선, 5호선"
별다방,서울특별시 중구 퇴계로 100 (회현동2가),명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동길,서울특별시 중구 명동10길 41,명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동미래," 서울특별시 중구 명동 7길 8, 2층 (명동 1가) ",명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동센트럴,서울특별시 중구 명동9길 16 (명동1가),명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동역," 서울특별시 중구 퇴계로 101, 건물 전체 (충무로 1가) ",명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동입구,서울특별시 중구 남대문로 68-1 (명동2가),명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동중앙로,서울특별시 중구 명동길 60 (명동 2가),명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
서울중앙우체국,서울특별시 중구 소공로 70 (충무로 1가) 서울 중앙 우체국,명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
신세계본점5F,서울특별시 중구 소공로 63 (충무로1가),명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
신세계본점6F,서울특별시 중구 퇴계로 77 (충무로1가),명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
회현역,서울특별시 중구 퇴계로 72 (회현동) 리더스뷰남산,명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
명동남산,서울특별시 중구 퇴계로 132,명동,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),4호선
사당,서울특별시 관악구 남부순환로 2082-25,사당,서울교통공사,"서울특별시 동작구 남부순환로 2089, 서울특별시 동작구 동작대로 3","2호선, 4호선"
사당로데오,서울특별시 서초구 방배천로 5-4,사당,서울교통공사,"서울특별시 동작구 남부순환로 2089, 서울특별시 동작구 동작대로 3","2호선, 4호선"
사당역,서울특별시 동작구 동작대로 21,사당,서울교통공사,"서울특별시 동작구 남부순환로 2089, 서울특별시 동작구 동작대로 3","2호선, 4호선"
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
코엑스아셈타워(확인바람),서울특별시 강남구 영동대로 517 (삼성동),삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
코엑스몰(확인바람),서울특별시 강남구 영동대로 513 (삼성동) 코엑스 O103호,삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
삼성역,서울특별시 강남구 테헤란로103길 9 (삼성동),삼성(무역센터),서울교통공사,서울특별시 강남구 테헤란로 지하538(삼성동),2호선
남산단암,서울특별시 중구 소월로 10,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
대우재단빌딩,서울특별시 중구 퇴계로 18,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
대한상공회의소R,서울특별시 중구 세종대로 39,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
서울역동자동,서울특별시 용산구 한강대로 372,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
서울역서부,서울특별시 용산구 만리재로 202,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
순화동더샵,서울특별시 중구 칠패로 27,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
숭례문,서울특별시 중구 세종대로 17,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
숭례문SG타워,서울특별시 중구 세종대로 14,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
연세세브란스,서울특별시 중구 통일로 10,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
이마트타워,서울특별시 중구 세종대로7길 37,서울,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),서울대입구역(관악구청),서울교통공사,서울특별시 관악구 남부순환로 지하1822(봉천동),2호선
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),서울대입구역(관악구청),서울교통공사,서울특별시 관악구 남부순환로 지하1822(봉천동),2호선
서울대입구역8번출구,서울특별시 관악구 남부순환로 1831 (봉천동),서울대입구역(관악구청),서울교통공사,서울특별시 관악구 남부순환로 지하1822(봉천동),2호선
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),서울대입구역(관악구청),서울교통공사,서울특별시 관악구 남부순환로 지하1822(봉천동),2호선
기술센터,서울특별시 강남구 테헤란로 305,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
르네상스사거리,서울특별시 강남구 테헤란로 306,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
선릉동신빌딩R,서울특별시 강남구 테헤란로 409,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
선릉로,서울특별시 강남구 선릉로93길 22,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
선릉역,서울특별시 강남구 테헤란로 334,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
테헤란로아남타워,서울특별시 강남구 테헤란로 311,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
성수 ,서울특별시 성동구 아차산로 104,성수,서울교통공사,서울특별시 성동구 아차산로 100(성수동2가),2호선
성수역,서울특별시 성동구 성수이로 94 (성수동2가),성수,서울교통공사,서울특별시 성동구 아차산로 100(성수동2가),2호선
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),수유(강북구청),서울교통공사,서울특별시 강북구 도봉로 지하338(수유동),4호선
수유역,서울특별시 강북구 도봉로 342 (번동),수유(강북구청),서울교통공사,서울특별시 강북구 도봉로 지하338(수유동),4호선
시청,"서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)",시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
서소문로,서울특별시 중구 서소문로 130 (서소문동),시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
퍼시픽타워,"서울특별시 중구 세종대로9길 41, 퍼시픽타워 1층 (서소문동",시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
태평로,"서울특별시 중구 세종대로 72, 대영빌딩 1층 (태평로2가)",시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
한국프레스센터,서울특별시 중구 세종대로 124 (태평로1가),시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
무교동,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
승례문북창,서울특별시 중구 세종대로12길 12 (남대문로4가),시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
세종대로,서울특별시 중구 세종대로 135-5 (태평로1가),시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
환구단,서울특별시 중구 소공로 112 (소공동),시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
순화동더샵,"서울특별시 중구 칠패로 27, 1층 (순화동)",시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
이마트타워,서울특별시 중구 세종대로7길 37 (순화동) 1층,시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
대한상공회의소R,서울특별시 중구 세종대로 39 (남대문로4가) 1층,시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
소공로,"서울특별시 중구 남대문로7길 19, 삼영빌딩 1층 일부 (소공동)",시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
명동입구,서울특별시 중구 남대문로 68-1 (명동2가),시청,서울교통공사,"서울특별시 중구 세종대로 지하101 (정동 5-5), 서울특별시 중구 서소문로 지하127(서소문동)","1호선, 2호선"
현대디큐브B2,서울특별시 구로구 경인로 662 (신도림동),신도림,"한국철도공사, 서울교통공사",서울특별시 구로구 새말로 지하 117-21(신도림동),"1호선, 2호선"
현대디큐브2F,서울특별시 구로구 경인로 662 (신도림동),신도림,"한국철도공사, 서울교통공사",서울특별시 구로구 새말로 지하 117-21(신도림동),"1호선, 2호선"
신림,서울특별시 관악구 신림로 355-1,신림,"로템에스알에스 주식회사, 서울교통공사",서울특별시 관악구 남부순환로 1614,"수도권 경량도시철도 신림선, 2호선"
신림타임스트림,서울특별시 관악구 신림로 330,신림,"로템에스알에스 주식회사, 서울교통공사",서울특별시 관악구 남부순환로 1614,"수도권 경량도시철도 신림선, 2호선"
신초오거리,서울특별시 마포구 신촌로16길 10 (노고산동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
서강대,서울특별시 마포구 백범로 23 (신수동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
신촌역,서울특별시 서대문구 신촌로 73 (창천동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
현대신촌,서울특별시 서대문구 신촌로 83 (창천동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
신촌 ,서울특별시 서대문구 연세로 10-1 (창천동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
연대,서울특별시 서대문구 연세로 35 (창천동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동),신촌,서울교통공사,서울특별시 마포구 신촌로 지하90(노고산동),2호선
서초구청,서울특별시 서초구 남부순환로 2557 (서초동),양재(서초구청),"경기도 신분당선, 서울교통공사","서울시 서초구 남부순환로 지하 2585, 서울특별시 서초구 남부순환로 지하2585(서초동)","신분당선, 3호선"
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),양재(서초구청),"경기도 신분당선, 서울교통공사","서울시 서초구 남부순환로 지하 2585, 서울특별시 서초구 남부순환로 지하2585(서초동)","신분당선, 3호선"
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,양재(서초구청),"경기도 신분당선, 서울교통공사","서울시 서초구 남부순환로 지하 2585, 서울특별시 서초구 남부순환로 지하2585(서초동)","신분당선, 3호선"
여의도화재보험,서울특별시 영등포구 국제금융로6길 38 (여의도동),여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도IFC몰(L1)R,서울특별시 영등포구 국제금융로 10 (여의도동)  지하1층 178호,여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도ABL타워,서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워,여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도한양증권,서울특별시 영등포구 국제금융로6길 7 (여의도동) 한양증권,여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도,서울특별시 영등포구 국제금융로2길 28 (여의도동),여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도역R,서울특별시 영등포구 의사당대로 83 (여의도동) 1층,여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
롯데캐슬여의도,서울특별시 영등포구 의사당대로 127 (여의도동) 롯데캐슬앰파이어 1층 104호,여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도신한투자증권타워,서울특별시 영등포구 여의대로 70 (여의도동),여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도호성,"서울특별시 영등포구 여의대방로65길 24, 호성빌딩 1층 (여의도동)",여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
여의도IFC(1F),서울특별시 영등포구 국제금융로 10 (여의도동),여의도,"서울교통공사, 서울시메트로9호선(주)","서울특별시 영등포구 여의나루로 지하40(여의도동), 서울특별시 영등포구 의사당대로 지하101","수도권 도시철도 9호선, 5호선"
타임스퀘어R,서울특별시 영등포구 영중로 15 지하 1층 (영등포동4가),영등포,한국철도공사,서울특별시 영등포구 경인로 846 (영등포동 618-496),1호선
